date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:54	167827/167827	---MCZ	200	added ('OK')	image/png	etag:%2228f93-5e2a554b23680;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/update-mockup.png	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/update-mockup.png	(from https://templatekit.jegtheme.com/shuttle/)
23:35:54	9449/9449	---M-Z	200	added ('OK')	image/png	etag:%2224e9-5d31617c3c340;61f39880b9910	https://templatekit.jegtheme.com/pertaev/wp-content/uploads/sites/220/2021/12/app-store-1.png	D:/asp/Shuttle/templatekit.jegtheme.com/pertaev/wp-content/uploads/sites/220/2021/12/app-store-1.png	(from https://templatekit.jegtheme.com/shuttle/)
23:35:54	156782/156782	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:35:54%20GMT	https://templatekit.jegtheme.com/shuttle/about-us/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/about-us/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:35:55	15158/15158	---M-Z	200	added ('OK')	image/png	etag:%223b36-5d31617d30580;61f39880b9910	https://templatekit.jegtheme.com/pertaev/wp-content/uploads/sites/220/2021/12/google-play-1.png	D:/asp/Shuttle/templatekit.jegtheme.com/pertaev/wp-content/uploads/sites/220/2021/12/google-play-1.png	(from https://templatekit.jegtheme.com/shuttle/)
23:35:55	156673/156673	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:35:55%20GMT	https://templatekit.jegtheme.com/shuttle/services/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/services/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:35:55	161576/161576	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:35:55%20GMT	https://templatekit.jegtheme.com/shuttle/our-bus/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/our-bus/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:35:58	152424/152424	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:35:56%20GMT	https://templatekit.jegtheme.com/shuttle/team/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/team/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:35:58	150772/150772	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:35:56%20GMT	https://templatekit.jegtheme.com/shuttle/faq/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/faq/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:35:58	125141/125141	---MCZ	200	added ('OK')	image/jpeg	etag:%221e8d5-5e216cb81e9c0;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/bus-image4-1024x691.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/bus-image4-1024x691.jpg	(from https://templatekit.jegtheme.com/shuttle/)
23:35:59	166984/166984	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:35:56%20GMT	https://templatekit.jegtheme.com/shuttle/bus-detail/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/bus-detail/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:35:59	111900/111900	---MCZ	200	added ('OK')	image/jpeg	etag:%221b51c-5e216cb265c40;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/bus-image2-1024x691.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/bus-image2-1024x691.jpg	(from https://templatekit.jegtheme.com/shuttle/)
